DT_PCODE,DT,TS_PCODE,TS,TT_HOUSEHOLDS,RADIO,TV,LLPHONE,MPHONE,COMPUTER,INTERNET,RADIO_PR,TV_PR,LLPHONE_PR,MPHONE_PR,COMPUTER_PR,INTERNET_PR
MMR014D001,Taunggyi,MMR014001,Taunggyi,82604,30176,62388,6736,48461,6705,9746,365.30918599583555,755.2660888092586,81.54568786015206,586.6665052539829,81.17040337029684,117.98460122996465
MMR014D001,Taunggyi,MMR014002,Nyaungshwe,42634,13801,23640,810,14973,669,1604,323.70877703241547,554.4870291316789,18.998921048928086,351.1985739081484,15.691701458929494,37.62255476849463
MMR014D001,Taunggyi,MMR014003,Hopong,24728,5083,11272,799,5192,358,631,205.55645422193464,455.83953413134907,32.31154966030411,209.9644128113879,14.477515367195084,25.517631834357815
MMR014D001,Taunggyi,MMR014004,Hsihseng,32771,8087,16568,1042,4755,325,580,246.77306154832016,505.56894815538135,31.796405358396147,145.0977998840438,9.91730493424064,17.69857495956791
MMR014D001,Taunggyi,MMR014005,Kalaw,41341,11607,25285,1739,16900,1225,1741,280.7624392249825,611.6204252437047,42.06477830724946,408.7951428364094,29.631600590213104,42.11315643066205
MMR014D001,Taunggyi,MMR014006,Pindaya,17544,7324,8862,348,2849,226,136,417.4646602827177,505.1299589603283,19.835841313269494,162.39170086639308,12.881896944824442,7.751937984496124
MMR014D001,Taunggyi,MMR014007,Ywangan,18348,8890,4781,219,2207,81,152,484.52147373010683,260.57335949422276,11.935905820797908,120.28558971005015,4.414650098103335,8.28428166557663
MMR014D001,Taunggyi,MMR014008,Lawksawk,25957,10048,16353,818,8321,565,556,387.1017451939747,630.0034672727974,31.513657202296105,320.56863273876024,21.766768116500366,21.420040836768504
MMR014D001,Taunggyi,MMR014009,Pinlaung,25504,5908,13816,728,6363,351,737,231.6499372647428,541.7189460476787,28.544542032622335,249.49027603513173,13.76254705144291,28.8974278544542
MMR014D001,Taunggyi,MMR014010,Pekon,20084,6399,10762,800,4315,381,316,318.6118303126867,535.8494323839873,39.83270264887473,214.84763991236804,18.970324636526588,15.733917546305518
MMR014D002,Loilen,MMR014011,Loilen,10901,1558,6024,236,2758,349,676,142.92266764517018,552.6098523071278,21.649389964223467,253.0043115310522,32.01541143014403,62.012659389046874
MMR014D002,Loilen,MMR014012,Laihka,8790,1348,5191,576,2298,244,165,153.3560864618885,590.5574516496018,65.52901023890784,261.4334470989761,27.758816837315134,18.77133105802048
MMR014D002,Loilen,MMR014013,Nansang,18863,3848,11048,709,5935,578,763,203.9972432804962,585.6968668822564,37.58681015745109,314.63712028839524,30.641997561363514,40.449557334464295
MMR014D002,Loilen,MMR014014,Kunhing,4570,738,2162,334,1556,119,260,161.48796498905907,473.0853391684902,73.08533916849015,340.48140043763675,26.039387308533918,56.89277899343545
MMR014D002,Loilen,MMR014015,Kyethi,8901,2391,3980,199,798,114,34,268.62150320188744,447.14077069992135,22.357038534996068,89.65284799460734,12.807549713515336,3.819795528592293
MMR014D002,Loilen,MMR014016,Mongkaing,16332,2560,1895,98,829,137,28,156.74748959098702,116.02987999020328,6.000489835904972,50.75924565270634,8.388439872642664,1.7144256674014204
MMR014D002,Loilen,MMR014017,Monghsu,9201,2171,4278,107,2126,114,354,235.95261384632104,464.94946201499835,11.629170742310619,231.06184110422782,12.3899576133029,38.47407890446691
MMR014D003,Langkho,MMR014018,Langkho,8388,1908,4925,624,3388,271,437,227.46781115879827,587.1483071053887,74.39198855507868,403.91034811635666,32.30805913209347,52.09823557463043
MMR014D003,Langkho,MMR014019,Mongnai,6224,1136,3211,32,1665,176,237,182.51928020565552,515.9061696658098,5.141388174807197,267.512853470437,28.27763496143959,38.07840616966581
MMR014D003,Langkho,MMR014020,Mawkmai,7194,701,1687,20,262,56,10,97.44231303864332,234.5009730330831,2.7800945232137892,36.419238254100634,7.78426466499861,1.3900472616068946
MMR014D003,Langkho,MMR014021,Mongpan,5421,1240,2804,117,2373,252,180,228.74008485519275,517.247740269323,21.58273381294964,437.7421140011068,46.485888212506914,33.20420586607637
MMR015D001,Lashio,MMR015001,Lashio,64932,15307,44205,4330,30118,3910,6087,235.7389268773486,680.7891332470892,66.68514753896385,463.8390932051993,60.21684223495349,93.74422472740713
MMR015D001,Lashio,MMR015002,Hseni,11779,3031,7407,528,5087,232,524,257.32235334069105,628.8309703709992,44.82553697257831,431.8702776127006,19.696069275829867,44.4859495712709
MMR015D001,Lashio,MMR015003,Mongyai,13328,2245,4855,271,1801,125,189,168.44237695078033,364.2707082833133,20.33313325330132,135.12905162064826,9.37875150060024,14.180672268907562
MMR015D001,Lashio,MMR015004,Tangyan,35142,7867,15929,794,3698,424,471,223.8631836548859,453.27528313698707,22.594047009276647,105.23020886688293,12.065334926868134,13.402765921120029
MMR015D002,Muse,MMR015009,Muse,22214,3907,18716,3100,15837,2028,2020,175.88007562798236,842.5317367425947,139.5516341046187,712.9287836499504,91.2937786981183,90.93364544881607
MMR015D002,Muse,MMR015010,Namhkan,21417,2891,13997,1966,12775,646,539,134.9862258953168,653.5462483074193,91.79623663444927,596.4887706027921,30.162954662184248,25.166923472008218
MMR015D002,Muse,MMR015011,Kutkai,19031,4543,9021,1197,5036,401,630,238.71577951762913,474.0160790289528,62.89737796227209,264.6208817193001,21.0708843465924,33.103883138037936
MMR015D003,Kyaukme,MMR015012,Kyaukme,28371,5985,17056,1123,10568,878,936,210.95484826054775,601.177258468154,39.58267244721723,372.4930386662437,30.947093863452118,32.99143491593529
MMR015D003,Kyaukme,MMR015013,Nawnghkio,32224,11257,17657,1239,10409,508,1216,349.33589870903677,547.9456305858987,38.449602780536246,323.0201092353525,15.76464746772592,37.73584905660377
MMR015D003,Kyaukme,MMR015014,Hsipaw,37906,7510,18038,1225,10200,553,592,198.12166939270827,475.86134121247295,32.316783622645495,269.08668812325226,14.588719463937107,15.61758033029072
MMR015D003,Kyaukme,MMR015015,Namtu,11641,2794,7341,410,1223,232,56,240.01374452366636,630.6159264667984,35.2203418950262,105.05970277467571,19.929559316209946,4.810583283223091
MMR015D003,Kyaukme,MMR015016,Namhsan,13685,3159,5344,316,1338,123,23,230.8366824990866,390.5005480453051,23.09097552064304,97.77128242601388,8.987943003288272,1.680672268907563
MMR015D003,Kyaukme,MMR015017,Mongmit,13652,3907,7565,482,3559,166,321,286.185174333431,554.1312628186347,35.3061822443598,260.69440375036623,12.15939056548491,23.513038382654557
MMR015D003,Kyaukme,MMR015018,Mabein,8632,3880,6117,628,3389,142,165,449.4902687673772,708.6422613531047,72.75254865616311,392.6088971269694,16.450417052826694,19.11492122335496
MMR015D003,Kyaukme,MMR015019,Manton,7683,1493,1447,62,421,28,8,194.32513341142783,188.33788884550307,8.069764414942078,54.796303527267995,3.6444097357802945,1.0412599245086556
MMR015D004,Kunlong,MMR015020,Kunlong,10392,1267,6129,1886,2469,216,93,121.92070823710546,589.7806004618938,181.48575827559662,237.5866050808314,20.785219399538104,8.94919168591224
MMR015D005,Laukkaing,MMR015022,Laukkaing,14231,758,11079,1912,10200,506,377,53.26400112430609,778.5116998102734,134.35457803386973,716.7451338626942,35.5561801700513,26.491462300611342
MMR015D005,Laukkaing,MMR015023,Konkyan,5462,115,1568,925,1730,59,53,21.054558769681435,287.0743317466129,169.35188575613327,316.7337971439033,10.801904064445257,9.703405346027095
MMR015D006,Hopang,MMR015021,Hopang,10031,1280,5586,820,4892,246,229,127.60442627853655,556.8736915561758,81.74658558468748,487.68816668328185,24.52397567540624,22.829229388894426
MMR015D006,Hopang,MMR015008,Mongmao,10445,1254,5355,893,4439,118,73,120.05744375299186,512.6854954523695,85.49545236955481,424.98803255146,11.297271421732885,6.988989947343226
MMR015D006,Hopang,MMR015007,Pangwaun,13969,1065,5123,405,7238,84,58,76.24024625957477,366.74063998854604,28.99276970434534,518.1473262223495,6.013315197938292,4.1520509700050114
MMR015D007,Matman,MMR015024,Matman,3318,810,728,28,150,20,15,244.122965641953,219.40928270042195,8.438818565400844,45.20795660036166,6.027727546714889,4.520795660036167
MMR015D007,Matman,MMR015005,Pangsang,16142,1573,7915,1010,7116,814,883,97.44765208772148,490.33577004088716,62.56969396605129,440.83756659645644,50.42745632511461,54.70201957626069
MMR015D007,Matman,MMR015006,Narphan,16474,1240,3461,695,5029,54,38,75.27012261745782,210.08862449921088,42.18768969284934,305.268908583222,3.2778924365667113,2.3066650479543522
MMR016D001,Kengtung,MMR016001,Kengtung,34096,9121,21746,2155,16616,1621,2581,267.50938526513374,637.7874237447207,63.2038948850305,487.329892069451,47.54223369310183,75.69802909432191
MMR016D001,Kengtung,MMR016002,Mongkhet,8025,637,2515,233,920,55,26,79.37694704049844,313.3956386292835,29.034267912772584,114.6417445482866,6.853582554517134,3.2398753894080996
MMR016D001,Kengtung,MMR016003,Mongyang,10119,726,5761,1153,4746,130,47,71.74621998221168,569.3250321177982,113.94406561913233,469.01867773495405,12.84711928056132,4.644727739895246
MMR016D001,Kengtung,MMR016005,Mongla,5208,428,3506,453,2891,326,590,82.18125960061444,673.195084485407,86.9815668202765,555.1075268817203,62.59600614439324,113.28725038402459
MMR016D002,Monghsat,MMR016006,Monghsat,15909,1713,7320,549,3015,363,324,107.67490099943429,460.1169149537997,34.508768621534976,189.51536865924948,22.81727324156138,20.365830661889497
MMR016D002,Monghsat,MMR016007,Mongping,10605,1717,3509,261,2023,123,145,161.90476190476193,330.88165959453084,24.61103253182461,190.75907590759076,11.598302687411598,13.672795851013673
MMR016D002,Monghsat,MMR016008,Mongton,4258,824,1654,107,1237,93,206,193.51808360732738,388.4452794739314,25.12916862376703,290.5119774542039,21.841240018788163,48.379520901831846
MMR016D003,Tachileik,MMR016009,Tachileik,31179,11329,23678,1863,22930,2881,2569,363.35353924115594,759.4214054331441,59.75175598960839,735.4308990025338,92.4019372013214,82.39520189871388
MMR016D004,Monghpyak,MMR016010,Monghpyak,6165,2497,3103,262,2354,155,299,405.02838605028387,503.3252230332522,42.49797242497973,381.83292781832927,25.141930251419303,48.499594484995946
MMR016D004,Monghpyak,MMR016011,Mongyawng,6329,1760,4679,772,2051,97,83,278.0850055300995,739.2953073155318,121.97819560752093,324.06383314899665,15.326275872965715,13.114236056249013
